
============================================================
filter_models.py — 2026-06-20 14:13:57
Source: /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models
Thresholds: nodes > 20  edges > 60  timeout 120s
============================================================

Found 7048 assembly.json model(s).
Found 182 hand-crafted STEP model(s) (no assembly.json).
  [1340/7048] NODES>20 (251 bodies): 135790_a27f9deb → nodes_gt_20/
  [1341/7048] NODES>20 (23 bodies): 135949_06517574 → nodes_gt_20/
  [1353/7048] NODES>20 (48 bodies): 139616_43234ab8 → nodes_gt_20/
  [1354/7048] NODES>20 (37 bodies): 139661_105bb47a → nodes_gt_20/
  [1355/7048] NODES>20 (21 bodies): 139665_4e8aac7d → nodes_gt_20/
  [1357/7048] NODES>20 (88 bodies): 139796_515f80a8 → nodes_gt_20/
  [1359/7048] NODES>20 (25 bodies): 139853_d0680974 → nodes_gt_20/
  [1361/7048] NODES>20 (260 bodies): 139866_1209934f → nodes_gt_20/
  [1362/7048] NODES>20 (26 bodies): 140011_8c40a59c → nodes_gt_20/
  [1363/7048] NODES>20 (54 bodies): 141333_3ba803f4 → nodes_gt_20/
  [1364/7048] NODES>20 (32 bodies): 141333_e315d257 → nodes_gt_20/
  [1366/7048] NODES>20 (41 bodies): 142332_8e1a3b5a → nodes_gt_20/
  [1370/7048] NODES>20 (186 bodies): 143293_fc5b0ff7 → nodes_gt_20/
  [1373/7048] NODES>20 (89 bodies): 143658_f856aac2 → nodes_gt_20/
  [1375/7048] NODES>20 (44 bodies): 144049_49d5d28c → nodes_gt_20/
  [1381/7048] NODES>20 (22 bodies): 145726_27898357 → nodes_gt_20/
  [1384/7048] NODES>20 (34 bodies): 145879_bf41ef7a → nodes_gt_20/
  [1389/7048] NODES>20 (35 bodies): 146518_0ab70b0c → nodes_gt_20/
  [1396/7048] NODES>20 (27 bodies): 146999_eea2e46a → nodes_gt_20/
  [1399/7048] NODES>20 (31 bodies): 147581_111d626e → nodes_gt_20/
  [1400/7048] NODES>20 (27 bodies): 147641_7198279f → nodes_gt_20/
  [1419/7048] NODES>20 (97 bodies): 21421_fb12b69b → nodes_gt_20/
  [1420/7048] NODES>20 (57 bodies): 21429_6d2d3974 → nodes_gt_20/
  [1422/7048] NODES>20 (62 bodies): 21557_53eafe15 → nodes_gt_20/
  [1438/7048] NODES>20 (21 bodies): 21923_41fa6eda → nodes_gt_20/
  [1441/7048] NODES>20 (46 bodies): 22056_79373464 → nodes_gt_20/
  [1445/7048] NODES>20 (21 bodies): 22065_0d414124 → nodes_gt_20/
  [1447/7048] NODES>20 (39 bodies): 22079_31335df2 → nodes_gt_20/
  [1448/7048] NODES>20 (54 bodies): 22081_ab3124af → nodes_gt_20/
  [1449/7048] NODES>20 (34 bodies): 22082_39503fa6 → nodes_gt_20/
  [1450/7048] NODES>20 (87 bodies): 22125_e3a4cad4 → nodes_gt_20/
  [1452/7048] NODES>20 (39 bodies): 22242_4ceddc2b → nodes_gt_20/
  [1453/7048] NODES>20 (77 bodies): 22357_e2f7b060 → nodes_gt_20/
  [1455/7048] NODES>20 (77 bodies): 22413_901f5867 → nodes_gt_20/
  [1456/7048] NODES>20 (37 bodies): 22440_014f1bac → nodes_gt_20/
  [1457/7048] NODES>20 (22 bodies): 22474_b10fea1a → nodes_gt_20/
  [1460/7048] NODES>20 (46 bodies): 22535_0ba01cc9 → nodes_gt_20/
  [1469/7048] NODES>20 (191 bodies): 23048_8a1a5553 → nodes_gt_20/
  [1472/7048] NODES>20 (99 bodies): 23154_7c74d190 → nodes_gt_20/
  [1474/7048] NODES>20 (35 bodies): 23195_2629864e → nodes_gt_20/
  [1475/7048] NODES>20 (39 bodies): 23217_7c6062e3 → nodes_gt_20/
  [1476/7048] NODES>20 (77 bodies): 23235_f9ccb8b0 → nodes_gt_20/
  [1477/7048] NODES>20 (50 bodies): 23271_f833d903 → nodes_gt_20/
  [1478/7048] NODES>20 (53 bodies): 23282_a1b17daa → nodes_gt_20/
  [1479/7048] NODES>20 (53 bodies): 23283_fadf3820 → nodes_gt_20/
  [1482/7048] NODES>20 (79 bodies): 23380_abffc859 → nodes_gt_20/
  [1483/7048] NODES>20 (66 bodies): 23422_f214bd4d → nodes_gt_20/
  [1484/7048] NODES>20 (34 bodies): 23473_1dfa6e40 → nodes_gt_20/
  [1487/7048] NODES>20 (24 bodies): 23784_38fa1454 → nodes_gt_20/
  [1488/7048] EDGES>60 (68 dir-edges): 23786_0647c995 → edges_gt_60/
  [1490/7048] NODES>20 (52 bodies): 23803_af2dcf60 → nodes_gt_20/
  [1494/7048] NODES>20 (32 bodies): 23953_ab633029 → nodes_gt_20/
  [1497/7048] EDGES>60 (64 dir-edges): 24040_f02e7ce1 → edges_gt_60/
  [1498/7048] NODES>20 (32 bodies): 24055_82f753d7 → nodes_gt_20/
  [1500/7048] NODES>20 (55 bodies): 24082_78ed35a9 → nodes_gt_20/
  Progress: 1500/7048 — nodes_mv: 247  edges_mv: 3
  [1501/7048] NODES>20 (56 bodies): 24082_f82a20c2 → nodes_gt_20/
  [1508/7048] NODES>20 (71 bodies): 24353_bc09d896 → nodes_gt_20/
  [1510/7048] NODES>20 (25 bodies): 24405_b96b34b6 → nodes_gt_20/
  [1512/7048] NODES>20 (152 bodies): 24413_786c8353 → nodes_gt_20/
  [1513/7048] NODES>20 (60 bodies): 24414_7a63ec0b → nodes_gt_20/
  [1528/7048] NODES>20 (126 bodies): 25127_ecba81df → nodes_gt_20/
  [1529/7048] NODES>20 (24 bodies): 25178_3fb6fdd8 → nodes_gt_20/
  [1531/7048] NODES>20 (29 bodies): 25210_0816d83f → nodes_gt_20/
  [1532/7048] NODES>20 (38 bodies): 25365_bb0e4ede → nodes_gt_20/
  [1542/7048] NODES>20 (185 bodies): 25487_dd2c17e8 → nodes_gt_20/
  [1543/7048] NODES>20 (34 bodies): 25552_c1ea16b1 → nodes_gt_20/
  [1545/7048] NODES>20 (149 bodies): 25823_95f0f8cb → nodes_gt_20/
  [1546/7048] NODES>20 (75 bodies): 25845_e9c6813d → nodes_gt_20/
  [1547/7048] NODES>20 (71 bodies): 25847_f459c420 → nodes_gt_20/
  [1550/7048] NODES>20 (48 bodies): 29360_8dda073e → nodes_gt_20/
  [1553/7048] NODES>20 (29 bodies): 30385_dde90484 → nodes_gt_20/
  [1554/7048] NODES>20 (22 bodies): 30442_4ff1d06c → nodes_gt_20/
  [1557/7048] NODES>20 (22 bodies): 30996_10b0a412 → nodes_gt_20/
  [1558/7048] NODES>20 (23 bodies): 31099_481b30db → nodes_gt_20/
  [1560/7048] NODES>20 (47 bodies): 31378_34c52a73 → nodes_gt_20/
  [1563/7048] NODES>20 (30 bodies): 33529_756075a0 → nodes_gt_20/
  [1564/7048] NODES>20 (123 bodies): 33765_4d6288b9 → nodes_gt_20/
  [1565/7048] NODES>20 (31 bodies): 33968_1d605403 → nodes_gt_20/
  [1566/7048] NODES>20 (21 bodies): 33994_6e20599c → nodes_gt_20/
  [1567/7048] NODES>20 (31 bodies): 33995_18423507 → nodes_gt_20/
  [1569/7048] NODES>20 (40 bodies): 34343_6d3253e1 → nodes_gt_20/
  [1570/7048] NODES>20 (53 bodies): 34440_af990c77 → nodes_gt_20/
  [1574/7048] NODES>20 (69 bodies): 35053_10e4ad39 → nodes_gt_20/
  [1575/7048] NODES>20 (56 bodies): 35179_ead7bf35 → nodes_gt_20/
  [1576/7048] EDGES>60 (86 dir-edges): 35942_15af9085 → edges_gt_60/
  [1579/7048] NODES>20 (26 bodies): 37599_faf701a1 → nodes_gt_20/
  [1584/7048] NODES>20 (38 bodies): 40417_b8d98f73 → nodes_gt_20/
  [1585/7048] NODES>20 (48 bodies): 40589_2673464e → nodes_gt_20/
  [1586/7048] NODES>20 (26 bodies): 41128_ee74f244 → nodes_gt_20/
  [1587/7048] NODES>20 (39 bodies): 41306_8f26e703 → nodes_gt_20/
  [1589/7048] NODES>20 (23 bodies): 41677_be02acde → nodes_gt_20/
  [1591/7048] NODES>20 (24 bodies): 42246_ccdb18b0 → nodes_gt_20/
  [1594/7048] NODES>20 (62 bodies): 43628_a95b7e66 → nodes_gt_20/
  [1599/7048] NODES>20 (160 bodies): 44387_1618ffe6 → nodes_gt_20/
  [1600/7048] NODES>20 (48 bodies): 44530_34f11745 → nodes_gt_20/
  [1603/7048] NODES>20 (57 bodies): 47870_64cc3d62 → nodes_gt_20/
  [1604/7048] NODES>20 (26 bodies): 48227_390437ae → nodes_gt_20/
  [1605/7048] NODES>20 (56 bodies): 48292_5ac1b984 → nodes_gt_20/
  [1606/7048] NODES>20 (90 bodies): 48402_8c965495 → nodes_gt_20/
  [1607/7048] NODES>20 (27 bodies): 48724_70685a9d → nodes_gt_20/
  [1609/7048] NODES>20 (86 bodies): 50823_d1830e58 → nodes_gt_20/
  [1610/7048] NODES>20 (34 bodies): 51443_8bcb2ac6 → nodes_gt_20/
  [1611/7048] NODES>20 (24 bodies): 51471_289b2a1d → nodes_gt_20/
  [1612/7048] NODES>20 (94 bodies): 51542_78281fea → nodes_gt_20/
  [1614/7048] NODES>20 (46 bodies): 51590_034b8b08 → nodes_gt_20/
  [1616/7048] NODES>20 (42 bodies): 51723_ab02be01 → nodes_gt_20/
  [1618/7048] NODES>20 (32 bodies): 52154_ba4a9f43 → nodes_gt_20/
  [1621/7048] NODES>20 (25 bodies): 52890_7ae554d9 → nodes_gt_20/
  [1624/7048] NODES>20 (44 bodies): 52890_e23bf00b → nodes_gt_20/
  [1625/7048] NODES>20 (62 bodies): 52890_f69f01a8 → nodes_gt_20/
  [1627/7048] NODES>20 (31 bodies): 53232_f8760054 → nodes_gt_20/
  [1631/7048] NODES>20 (27 bodies): 53848_7c64ed9f → nodes_gt_20/
  [1632/7048] NODES>20 (33 bodies): 54071_9817455b → nodes_gt_20/
  [1634/7048] NODES>20 (24 bodies): 54627_cc4c8cad → nodes_gt_20/
  [1635/7048] NODES>20 (27 bodies): 54663_f581fe72 → nodes_gt_20/
  [1640/7048] NODES>20 (28 bodies): 55029_a712d5a7 → nodes_gt_20/
  [1641/7048] NODES>20 (26 bodies): 55115_bc8ee065 → nodes_gt_20/
  [1642/7048] NODES>20 (103 bodies): 55129_96245c46 → nodes_gt_20/
  [1643/7048] NODES>20 (37 bodies): 55627_971fde61 → nodes_gt_20/
  [1645/7048] NODES>20 (106 bodies): 55801_72138780 → nodes_gt_20/
  [1648/7048] NODES>20 (88 bodies): 61814_050e1a89 → nodes_gt_20/
  [1649/7048] NODES>20 (45 bodies): 61814_119a4078 → nodes_gt_20/
  [1650/7048] NODES>20 (115 bodies): 64017_a1afb6aa → nodes_gt_20/
  [1663/7048] NODES>20 (50 bodies): 73546_5bc13383 → nodes_gt_20/
  [1667/7048] NODES>20 (88 bodies): 75175_879cdaa5 → nodes_gt_20/
  [1668/7048] NODES>20 (61 bodies): 75271_2fbfd6f0 → nodes_gt_20/
  [1669/7048] NODES>20 (36 bodies): 75506_31b65030 → nodes_gt_20/
  [1670/7048] NODES>20 (36 bodies): 75506_8c7c5f34 → nodes_gt_20/
  [1671/7048] NODES>20 (36 bodies): 75506_f7862d5b → nodes_gt_20/
